Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GI,Fires,090,Solomon Islands,7246,Burned Area,6791,Closed shrubland,2017,2017,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6791,Closed shrubland,2018,2018,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6791,Closed shrubland,2019,2019,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,1990,1990,3050,FAO TIER 1,ha,14.2518,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,1991,1991,3050,FAO TIER 1,ha,14.2518,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,1992,1992,3050,FAO TIER 1,ha,14.2518,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,1993,1993,3050,FAO TIER 1,ha,14.2518,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,1994,1994,3050,FAO TIER 1,ha,14.2518,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,1995,1995,3050,FAO TIER 1,ha,14.2518,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,1996,1996,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,1997,1997,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,1998,1998,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,1999,1999,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6794,Grassland,2000,2000,3050,FAO TIER 1,ha,0,Fc,Calculated data,
